,0,1,0,1,0,1
0,echo,0.056956023035940107,quality,0.030332203642334247,echo,0.02923495667559717
1,amazon,0.016611676060827436,echo,0.02726257393724554,listen,0.023844083301372797
2,quality,0.011703279067207018,listen,0.016045965766536822,control,0.015525764822523828
3,home,0.011676583257411007,amazon,0.01184769666237879,amazon,0.012582949895932194
4,room,0.008025691758612638,try,0.01181531840407205,shopping,0.012079576502484257
5,app,0.005261677446604271,listening,0.01172939886499409,family,0.01036030476161137
6,volume,0.005119648510320226,house,0.010766791842531076,service,0.009654099321075506
7,purchase,0.004880160486798594,family,0.009770433069536726,connect,0.009376850226595021
8,house,0.0048252013140188685,tv,0.00893759182058341,news,0.008793429831376856
9,list,0.004577436495564521,room,0.008086695780496063,quality,0.008685729127161713
10,command,0.004519110161790688,news,0.007892310875578387,house,0.008607169474659893
11,google,0.004457616418104903,control,0.007841561248385151,son,0.008517213349053667
12,learning,0.0041153903473802045,recommend,0.006110014316975493,husband,0.007586142321590489
13,understand,0.004030886663991466,update,0.005802353239495565,home,0.0070000900441295
14,help,0.003970133664159699,money,0.005698583797536946,system,0.0069849224682989215
15,issue,0.0037680110489589132,husband,0.005493156278361394,info,0.006660029102633406
16,connect,0.0036213361978847812,service,0.005276276910023845,stuff,0.005665777203639605
17,update,0.0034948372461842095,name,0.004992304433212443,recommend,0.0053793787122713215
18,setup,0.0031696879556384057,fine,0.004889584739021902,tv,0.005102324191248544
19,problem,0.0030494821234072454,joke,0.004470008373810396,learn,0.004940741348762644
20,small,0.002933431303244597,response,0.004286739081274488,money,0.004683647401756419
21,item,0.0028954535179671636,send,0.004228848455723379,reason,0.0044573019062086475
22,different,0.0028507095373766335,helpful,0.0041239913906223925,google,0.00443646282614345
23,size,0.0027571661295618527,high,0.004011119296791122,fine,0.004306102484036058
24,loud,0.0027480090123848232,alarm,0.0038832713316980004,friendly,0.0042647617884816295
25,radio,0.002731938507364631,google,0.003846020970414565,app,0.0042374637783654245
26,favorite,0.0027067678218813864,information,0.003724844432551047,room,0.004067993775086875
27,learn,0.0026895181173375526,super,0.0037069650037779454,try,0.0040266208910867815
28,clear,0.0026592637618918676,learn,0.0036901151909507924,high,0.003978726930188866
29,information,0.002635423445151615,volume,0.0035892404795139807,joke,0.003920997999960437
